I	I[ALFS]

willaq	willa[VRoot][=contar][^DB][--]q[NS][+Ag]

pasamun	pasa[VRootES][--]mu[VDeriv][+Cis_Trs][^DB][--]n[VPers][+3.Sg.Subj]

.	.[$,]

Curataqsi	Cura[NRootES][^DB][--]taq[Amb][+Con_Intr][^DB][--]si[Amb][+IndE]

sacristanninkunawan	sacristan[NRootES][^DB][--]nin[NPers][+3.Sg.Poss][--]kuna[Num][+Pl][^DB][--]wan[Cas][+Con_Inst]

kuska	kuska[NRoot][=juntos]

cruz	cruz[NRootES]

altata	altata	+?

aparikuspa	apa[VRoot][=llevar][--]ri[VDeriv][+Inch][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]spa[NS][+SS]

pasanku	pasa[VRootES][^DB][--]nku[VPers][+3.Pl.Subj]

chay	chay[PrnDem]

sitioman	sitio[NRootES][^DB][--]man[Cas][+Dat_Ill]

.	.[$,]

Chhaynatas	Chhayna[PrnDem][^DB][--]ta[Cas][+Acc][^DB][--]s[Amb][+IndE]

Pedro	Pedro[NP]

Arias	Arias[NP]

tupasqanku	tupa[VRoot][=encontrarse][^DB][--]sqa[NS][+Perf][^DB][--]nku[NPers][+3.Pl.Poss]

sitioman	sitio[NRootES][^DB][--]man[Cas][+Dat_Ill]

primerota	primero[NRootES][^DB][--]ta[Cas][+Acc]

chayarun	chaya[VRoot][=llegar][--]ru[VDeriv][+Rptn][^DB][--]n[VPers][+3.Sg.Subj]

.	.[$,]

Pero	Pero[NRootES]

Señorqa	Señor[NRootES][^DB][--]qa[Amb][+Top]

Pedro	Pedro[NP]

Ariaswan	Arias[NP][^DB][--]wan[Cas][+Con_Inst]

tupasqankupi	tupa[VRoot][=encontrarse][^DB][--]sqa[NS][+Perf][^DB][--]nku[NPers][+3.Pl.Poss][^DB][--]pi[Cas][+Loc]

manaña	mana[Part_Neg][^DB][--]ña[Amb][+Disc]

chaypiñachu	chay[PrnDem][^DB][--]pi[Cas][+Loc][^DB][--]ña[Amb][+Disc][^DB][--]chu[Amb][+Intr_Neg]

kasqa	ka[VRoot][=ser][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

,	,[$,]

pakarukusqa	paka[VRoot][=ocultar][--]ru[VDeriv][+Rptn][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

,	,[$,]

pero	pero[NRootES]

Pedro	Pedro[NP]

Ariasqa	Arias[NP][^DB][--]qa[Amb][+Top]

maskhaspa	maskha[VRoot][=buscar][^DB][--]spa[NS][+SS]

tarirusqa	tari[VRoot][=encontrar][--]ru[VDeriv][+Rptn][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

.	.[$,]

-	-[$-]

Papáy	Papa[NRoot][=patata][^DB][--]y[NPers][+1.Sg.Poss]

,	,[$,]

amaña	ama[Part_Neg_Imp][^DB][--]ña[Amb][+Disc]

pakakuyñachu	paka[VRoot][=ocultar][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]y[VPers][+2.Sg.Subj.Imp][^DB][--]ña[Amb][+Disc][^DB][--]chu[Amb][+Intr_Neg]

,	,[$,]

maskhamushaykikun	maskha[VRoot][=buscar][--]mu[VDeriv][+Cis_Trs][^DB][--]sha[Asp][+Prog][--]ykiku[VPers][+1.Pl.Excl.Subj_2.Sg.Obj][^DB][--]n[Amb][+DirE]

.	.[$,]

Curata	Cura[NRootES][^DB][--]ta[Cas][+Acc]

askha	askha[NRoot][=mucho]

genteta	gente[NRootES][^DB][--]ta[Cas][+Acc]

rikuspas	riku[VRoot][=ver,conocer,aparecer][^DB][--]spa[NS][+SS][^DB][--]s[Amb][+IndE]

,	,[$,]

Señorqa	Señor[NRootES][^DB][--]qa[Amb][+Top]

ayqekusqa	ayqi[VRoot][=escapar][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

,	,[$,]

pero	pero[NRootES]

gente	gente[SP]

qatikachayta	qati[VRoot][=seguir,arrear][--]kacha[VDeriv][+Intrup][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

qallarisqa	qalla[VRoot][=empezar][--]ri[VDeriv][+Inch][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

,	,[$,]

huk	huk[NRootNUM]

pelochallaña	pelo[NRootES][--]cha[NDeriv][+Dim][^DB][--]lla[Amb][+Lim_Aff][^DB][--]ña[Amb][+Disc]

chaparumankupaq	chaparumankupaq	+?

faltashaqtinsi	falta[VRootES][^DB][--]sha[Asp][+Prog][^DB][--]qti[NS][+DS][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]si[Amb][+IndE]

fatigasqa	fatiga[VRootES][^DB][--]sqa[NS][+Perf]

chutayukusqa	chuta[VRoot][=jalar][--]yu[VDeriv][+Aff][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

,	,[$,]

khatatataspataqsi	khatatataspataqsi	+?

huk	huk[NRootNUM]

wank'a	wank'a[NRoot][=roca]

rumiman	rumi[NRoot][=piedra][^DB][--]man[Cas][+Dat_Ill]

t'iparukun	t'ipa[VRoot][=abrochar][--]ru[VDeriv][+Rptn][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]n[VPers][+3.Sg.Subj]

.	.[$,]

Wank'apitaq	Wank'a[NRoot][=roca][^DB][--]pi[Cas][+Loc][^DB][--]taq[Amb][+Con_Intr]

cuerponpa	cuerpo[NRootES][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]pa[Cas][+Gen]

retratonllaña	retrato[NRootES][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]lla[Amb][+Lim_Aff][^DB][--]ña[Amb][+Disc]

quedasqa	queda[VRootES][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

.	.[$,]

Bueno	Bueno[SP]

,	,[$,]

kay	kay[PrnDem]

milagrotaq	milagro[NRootES][^DB][--]taq[Amb][+Con_Intr]

pasaran	pasa[VRootES][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

,	,[$,]

chayqa	chay[PrnDem][^DB][--]qa[Amb][+Top]

rezaspa	reza[VRootES][^DB][--]spa[NS][+SS]

misata	misa[NRootES][^DB][--]ta[Cas][+Acc]

qonku	qu[VRoot][=dar][^DB][--]nku[VPers][+3.Pl.Subj]

,	,[$,]

Pedro	Pedro[NP]

Ariastaq	Arias[NP][^DB][--]taq[Amb][+Con_Intr]

wasichata	wasi[NRoot][=casa][--]cha[NDeriv][+Dim][^DB][--]ta[Cas][+Acc]

rurapusqa	rura[VRoot][=hacer][--]pu[VDeriv][+Rgr_Iprs][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

,	,[$,]

chaytataqmi	chay[PrnDem][^DB][--]ta[Cas][+Acc][^DB][--]taq[Amb][+Con_Intr][^DB][--]mi[Amb][+DirE]

kunan	kunan[NRoot][=ahora]

hatun	hatun[NRoot][=grande]

cpnventowan	convento[NRootES][^DB][--]wan[Cas][+Con_Inst] 

taparapunku	tapa[VRoot][=ocultar][--]ra[VDeriv][+Rptn][--]pu[VDeriv][+Rgr_Iprs][^DB][--]nku[VPers][+3.Pl.Subj]

.	.[$,]

Kay	Kay[PrnDem]

Pedro	Pedro[NP]

Ariaspa	Arias[NP][^DB][--]pa[Cas][+Gen]

capilla	capilla[NRootES]

rurapusqanpaq	rura[VRoot][=hacer][--]pu[VDeriv][+Rgr_Iprs][^DB][--]sqa[NS][+Perf][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]paq[Cas][+Ben]

conjuraq	conjura[VRootES][^DB][--]q[NS][+Ag]

hamusqa	hamu[VRoot][=venir][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

chileno	chileno[NRootES]

ladomantaraq	lado[NRootES][^DB][--]manta[Cas][+Abl][^DB][--]raq[Amb][+Cont]

huk	huk[NRootNUM]

padre	padre[NRootES]

capellan	capellan[NRootES]

,	,[$,]

chay	chay[PrnDem]

pachamantas	pacha[NRoot][=mundo,tiempo][^DB][--]manta[Cas][+Abl][^DB][--]s[Amb][+IndE]

kay	kay[PrnDem]

capellan	capellan[NRootES]

quedakapusqa	queda[VRootES][^DB][--]ka[VDeriv][+Rflx_Int][--]pu[VDeriv][+Rgr_Iprs][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

Wanka	Wanka[NRoot][=roca]

Wankapi	Wanka[NRoot][=roca][^DB][--]pi[Cas][+Loc]

:	:[$,]

kunankama	kunan[NRoot][=ahora][^DB][--]kama[Cas][+Term]

,	,[$,]

Milagron	Milagro[NRootES][^DB][--]n[Amb][+DirE]

pasaqtinñan	pasa[VRootES][^DB][--]qti[NS][+DS][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ña[Amb][+Disc][^DB][--]n[Amb][+DirE]

,	,[$,]

huk	huk[NRootNUM]

p'unchay	p'unchay[NRoot][=día]

Pedro	Pedro[NP]

Ariasman	Arias[NP][^DB][--]man[Cas][+Dat_Ill]

Señor	Señor[NRootES]

rikhurirusqa	rikhuri[VRoot][=aparecer][--]ru[VDeriv][+Rptn][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

,	,[$,]

hinaspa	hina[VRoot][=hacer_así,ser_así][^DB][--]spa[NS][+SS]

wakhasqa	wakha[VRoot][=desmoronar][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

:	:[$,]

-	-[$-]

Pedro	Pedro[NP]

,	,[$,]

Pedro	Pedro[NP]

,	,[$,]

don	don[SP]

Pedro	Pedro[NP]

;	;[$,]

bueno	Bueno[SP]

,	,[$,]

hijo	hijo[NRootES]

,	,[$,]

kunanmantan	kunan[NRoot][=ahora][^DB][--]manta[Cas][+Abl][^DB][--]n[Amb][+DirE]

vidata	vida[NRootES][^DB][--]ta[Cas][+Acc]

huknin	huk[NRootNUM][^DB][--]nin[NPers][+3.Sg.Poss]

warmillaykiwan	warmi[NRoot][=mujer][^DB][--]lla[Amb][+Lim_Aff][^DB][--]yki[NPers][+2.Sg.Poss][^DB][--]wan[Cas][+Con_Inst]

kawsanki	kawsa[VRoot][=vivir][^DB][--]nki[VPers][+2.Sg.Subj]

,	,[$,]

casada	casada[NRootES]

kaqwan	ka[VRoot][=ser][^DB][--]q[NS][+Ag][^DB][--]wan[Cas][+Con_Inst]

.	.[$,]

Mana	Mana[Part_Neg]

hinaqa	hina[Part_Sim][^DB][--]qa[Amb][+Top]

,	,[$,]

nak'arusaykin	nak'a[VRoot][=matar][--]ru[VDeriv][+Rptn][^DB][--]sqayki[VPers][+1.Sg.Subj_2.Sg.Obj.Fut][^DB][--]n[Amb][+DirE]

.	.[$,]

-	-[$-]

Bueno	Bueno[SP]

,	,[$,]

papáy	papa[NRoot][=patata][^DB][--]y[NPers][+1.Sg.Poss]

,	,[$,]

manan	mana[Part_Neg][^DB][--]n[Amb][+DirE]

qonqamusaykichu	qunqa[VRoot][=olvidar][--]mu[VDeriv][+Cis_Trs][^DB][--]sqayki[VPers][+1.Sg.Subj_2.Sg.Obj.Fut][^DB][--]chu[Amb][+Intr_Neg]

.	.[$,]

Khaynata	Khayna[PrnDem][^DB][--]ta[Cas][+Acc]

contestasqa	contesta[VRootES][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

.	.[$,]

Contento	Contento[NRootES]

llaqtanta	llaqta[NRoot][=pueblo][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ta[Cas][+Acc]

chayamun	chaya[VRoot][=llegar][--]mu[VDeriv][+Cis_Trs][^DB][--]n[VPers][+3.Sg.Subj]

Pedro	Pedro[NP]

Ariasqa	Arias[NP][^DB][--]qa[Amb][+Top]

;	;[$,]

pero	pero[NRootES]

casado	casado[NRootES]

kasqan	ka[VRoot][=ser][^DB][--]sqa[NS][+Perf][^DB][--]n[NPers][+3.Sg.Poss]

warminsi	warmi[NRoot][=mujer][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]si[Amb][+IndE]

desentendida	desentendida[NRootES]

churakun	chura[VRoot][=poner][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]n[VPers][+3.Sg.Subj]

,	,[$,]

mana	mana[Part_Neg]

reqseqsi	riqsi[VRoot][=conocer][^DB][--]q[NS][+Ag][^DB][--]si[Amb][+IndE]

tukunpas	tuku[VRoot][=acabar,suceder,convertirse][^DB][--]n[VPers][+3.Sg.Subj][^DB][--]pas[Amb][+Add]

.	.[$,]

Hoq	Huq[NRootNUM]

kaq	ka[VRoot][=ser][^DB][--]q[NS][+Ag]

warmintaqsi	warmi[NRoot][=mujer][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]taq[Amb][+Con_Intr][^DB][--]si[Amb][+IndE]

,	,[$,]

kusikuymanta	kusi[VRoot][=alegrar][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]y[NS][+Inf][^DB][--]manta[Cas][+Abl]

waqasparaq	waqa[VRoot][=llorar][^DB][--]spa[NS][+SS][^DB][--]raq[Amb][+Cont]

,	,[$,]

askha	askha[NRoot][=mucho]

aqha	aqha[NRoot][=chicha]

mikhunantin	mikhu[VRoot][=comer][^DB][--]na[NS][+Obl][^DB][--]ntin[Cas][+Iclsv]

chaskin	chaski[VRoot][=recibir,aceptar][^DB][--]n[VPers][+3.Sg.Subj]

.	.[$,]

Khaynatas	Khayna[PrnDem][^DB][--]ta[Cas][+Acc][^DB][--]s[Amb][+IndE]

Pedro	Pedro[NP]

Arias	Arias[NP]

tiyallasqa	tiya[VRoot][=haber,estar,habitar,estar_sentado][^DB][--]lla[Amb][+Lim_Aff][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

warminkunawan	warmi[NRoot][=mujer][^DB][--]n[NPers][+3.Sg.Poss][--]kuna[Num][+Pl][^DB][--]wan[Cas][+Con_Inst]

.	.[$,]

Pero	Pero[NRootES]

qhepa	qhipa[NRoot][=atrás]

tiempoman	tiempo[NRootES][^DB][--]man[Cas][+Dat_Ill]

Señorninchis	Señor[NRootES][^DB][--]ninchis[NPers][+1.Pl.Incl.Poss]

fiebrewan	fiebre[NRootES][^DB][--]wan[Cas][+Con_Inst]

wañurachipusqa	wañu[VRoot][=morir][--]ra[VDeriv][+Rptn][^DB][--]chi[VDeriv][+Caus][--]pu[VDeriv][+Rgr_Iprs][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

,	,[$,]

encargon	encargo[NRootES][^DB][--]n[NPers][+3.Sg.Poss]

qonqasqanmanta	qunqa[VRoot][=olvidar][^DB][--]sqa[NS][+Perf][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]manta[Cas][+Abl]

.	.[$,]

Khaynan	Khayna[PrnDem][^DB][--]n[Amb][+DirE]

Señor	Señor[NRootES]

de	de[SP]

Wankaq	Wanka[NRoot][=roca][^DB][--]q[Cas][+Gen]

vidan	vida[NRootES][^DB][--]n[NPers][+3.Sg.Poss]

.	.[$,]

Payraykun	Pay[PrnPers+3.Sg][^DB][--]rayku[Cas][+Kaus][^DB][--]n[Amb][+DirE]

gente	gente[SP]

hamun	hamu[VRoot][=venir][^DB][--]n[VPers][+3.Sg.Subj]

enteromanta	entero[NRootES][^DB][--]manta[Cas][+Abl]

,	,[$,]

sisi	sisi[NRoot][=hormiga]

hinaraq	hina[Part_Sim][^DB][--]raq[Amb][+Cont]

.	.[$,]

Ña	Ña[Part_Disc]

rezaqña	reza[VRootES][^DB][--]q[NS][+Ag][^DB][--]ña[Amb][+Disc]

,	,[$,]

ña	ña[Part_Disc]

qhatoqña	qhatu[VRoot][=negociar][^DB][--]q[NS][+Ag][^DB][--]ña[Amb][+Disc]

otaq	o[Part_Contr][^DB][--]taq[Amb][+Con_Intr]

rantikoq	ranti[VRoot][=comprar][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]q[NS][+Ag]

,	,[$,]

otaq	o[Part_Contr][^DB][--]taq[Amb][+Con_Intr]

ununwan	unu[NRoot][=agua][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]wan[Cas][+Con_Inst]

purificakoq	purificakoq	+?

.	.[$,]

Chay	Chay[PrnDem]

pacha	pacha[NRoot][=mundo,tiempo]

chikuraq	chico[NRootES][^DB][--]raq[Amb][+Cont]

rishani	ri[VRoot][=ir][^DB][--]sha[Asp][+Prog][--]ni[VPers][+1.Sg.Subj]

manka	manka[NRoot][=olla]

negociowan	negocio[NRootES][^DB][--]wan[Cas][+Con_Inst]

chayqa	chay[PrnDem][^DB][--]qa[Amb][+Top]

genteqa	gente[NRootES][^DB][--]qa[Amb][+Top]

Señorman	Señor[NRootES][^DB][--]man[Cas][+Dat_Ill]

rinapaqqa	ri[VRoot][=ir][^DB][--]na[NS][+Obl][^DB][--]paq[Cas][+Ben][^DB][--]qa[Amb][+Top]

chakillapin	chaki[NRoot][=pie][^DB][--]lla[Amb][+Lim_Aff][^DB][--]pi[Cas][+Loc][^DB][--]n[Amb][+DirE]

pureq	puri[VRoot][=andar][^DB][--]q[NS][+Ag]

,	,[$,]

kutimoqkupas	kuti[VRoot][=volver][--]mu[VDeriv][+Cis_Trs][^DB][--]qku[VPers][+3.Pl.Subj.Hab][^DB][--]pas[Amb][+Add]

desfilepi	desfile[NRootES][^DB][--]pi[Cas][+Loc]

hinaraq	hina[Part_Sim][^DB][--]raq[Amb][+Cont]

chatuchakunapi	chatuchakunapi	+?

botellakunapi	botella[NRootES][--]kuna[Num][+Pl][^DB][--]pi[Cas][+Loc]

Señorpa	Señor[NRootES][^DB][--]pa[Cas][+Gen]

unun	unu[NRoot][=agua][^DB][--]n[NPers][+3.Sg.Poss]

aysarisqa	aysa[VRoot][=llevar_en_la_mano,pesar][--]ri[VDeriv][+Inch][^DB][--]sqa[NS][+Perf]

.	.[$,]

Señor	Señor[NRootES]

de	de[SP]

Wankaqa	Wanka[NRoot][=roca][^DB][--]qa[Amb][+Top]

manan	mana[Part_Neg][^DB][--]n[Amb][+DirE]

munanchu	muna[VRoot][=querer][^DB][--]n[VPers][+3.Sg.Subj][^DB][--]chu[Amb][+Intr_Neg]

tusoqkunata	tusu[VRoot][=bailar][^DB][--]q[NS][+Ag][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc]

,	,[$,]

"	"[$,]

me	me	+?

fastadian	fastadian	+?

"	"[$,]

ninsi	ni[VRoot][=decir][^DB][--]n[VPers][+3.Sg.Subj][^DB][--]si[Amb][+IndE]

;	;[$,]

manan	mana[Part_Neg][^DB][--]n[Amb][+DirE]

munallantaqchu	muna[VRoot][=querer][^DB][--]lla[Amb][+Lim_Aff][^DB][--]n[VPers][+3.Sg.Subj][^DB][--]taq[Amb][+Con_Intr][^DB][--]chu[Amb][+Intr_Neg]

trago	trago[NRootES]

aqha	aqha[NRoot][=chicha]

tomanankuta	toma[VRootES][^DB][--]na[NS][+Obl][^DB][--]nku[NPers][+3.Pl.Poss][^DB][--]ta[Cas][+Acc]

.	.[$,]

Chaymi	Chay[PrnDem][^DB][--]mi[Amb][+DirE]

trago	trago[NRootES]

aqha	aqha[NRoot][=chicha]

tomaqkunaqa	toma[VRootES][^DB][--]q[NS][+Ag][--]kuna[Num][+Pl][^DB][--]qa[Amb][+Top]

Señorpa	Señor[NRootES][^DB][--]pa[Cas][+Gen]

ladonpeqa	lado[NRootES][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]pi[Cas][+Loc][^DB][--]qa[Amb][+Top]

tomanku	toma[VRootES][^DB][--]nku[VPers][+3.Pl.Subj]

lecheta	leche[NRootES][^DB][--]ta[Cas][+Acc]

leche	leche[NRootES]

ch'akiypaq	ch'aki[NRoot][=seco,sed][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]paq[Cas][+Ben]

nispa	ni[VRoot][=decir][^DB][--]spa[NS][+SS]

.	.[$,]

Mana	Mana[Part_Neg]

trago	trago[NRootES]

ninkuchu	ni[VRoot][=decir][^DB][--]nku[VPers][+3.Pl.Subj][^DB][--]chu[Amb][+Intr_Neg]

,	,[$,]

trago	trago[NRootES]

tomasqankuta	toma[VRootES][^DB][--]sqa[NS][+Perf][^DB][--]nku[NPers][+3.Pl.Poss][^DB][--]ta[Cas][+Acc]

.	.[$,]

Bueno	Bueno[SP]

,	,[$,]

hoq	huq[NRootNUM]

kaq	ka[VRoot][=ser][^DB][--]q[NS][+Ag]

wayqenqa	wayqi[NRoot][=hermano][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]qa[Amb][+Top]

Qoyllur	Quyllur[NRoot][=estrella]

rit'in	rit'i[NRoot][=nieve][^DB][--]n[Amb][+DirE]

,	,[$,]

pero	pero[NRootES]

mana	mana[Part_Neg]

yachanichu	yacha[VRoot][=saber,habitar][^DB][--]ni[VPers][+1.Sg.Subj][^DB][--]chu[Amb][+Intr_Neg]

milagronmanta	milagro[NRootES][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]manta[Cas][+Abl]

.	.[$,]

Milagroson	Milagroso[NRootES][^DB][--]n[NPers][+3.Sg.Poss]

ninkun	ni[VRoot][=decir][^DB][--]nku[VPers][+3.Pl.Subj][^DB][--]n[Amb][+DirE]

pero	pero[NRootES]

imapaqtaq	ima[NRoot][=cosa][^DB][--]paq[Cas][+Ben][^DB][--]taq[Amb][+Con_Intr]

yachanin	yacha[VRoot][=saber,habitar][^DB][--]ni[VPers][+1.Sg.Subj][^DB][--]n[Amb][+DirE]

nisaq	ni[VRoot][=decir][^DB][--]saq[VPers][+1.Sg.Subj.Fut]

.	.[$,]

Hoq	Huq[NRootNUM]

kaq	ka[VRoot][=ser][^DB][--]q[NS][+Ag]

wayqenmantapas	wayqi[NRoot][=hermano][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]manta[Cas][+Abl][^DB][--]pas[Amb][+Add]

milagroson	milagroso[NRootES][^DB][--]n[Amb][+DirE]

nillankutaqmi	ni[VRoot][=decir][^DB][--]lla[Amb][+Lim_Aff][^DB][--]nku[VPers][+3.Pl.Subj][^DB][--]taq[Amb][+Con_Intr][^DB][--]mi[Amb][+DirE]

Akllamayupis	Aklla[NRoot][=virgen]mayu[NRoot][=río][^DB][--]pi[Cas][+Loc][^DB][--]s[Amb][+IndE]

kashan	ka[VRoot][=ser][^DB][--]sha[Asp][+Prog][--]n[VPers][+3.Sg.Subj]

,	,[$,]

manan	mana[Part_Neg][^DB][--]n[Amb][+DirE]

yachallanichu	yacha[VRoot][=saber,habitar][^DB][--]lla[Amb][+Lim_Aff][^DB][--]ni[VPers][+1.Sg.Subj][^DB][--]chu[Amb][+Intr_Neg]

maypichá	may[PrnInterr][=dónde][^DB][--]pi[Cas][+Loc][^DB][--]chá[Amb][+Asmp_Emph]

kanpas	ka[VRoot][=ser][^DB][--]n[VPers][+3.Sg.Subj][^DB][--]pas[Amb][+Add]

.	.[$,]

Qhepa	Qhipa[NRoot][=atrás]

kaq	ka[VRoot][=ser][^DB][--]q[NS][+Ag]

Josefa	Josefa[NP]

warmiywanqa	warmi[NRoot][=mujer][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]wan[Cas][+Con_Inst][^DB][--]qa[Amb][+Top]

isqon	isqun[NRootNUM]

watan	wata[NRoot][=año][^DB][--]n[Amb][+DirE]

tiyarani	tiya[VRoot][=haber,estar,habitar,estar_sentado][^DB][--]ra[Tns][+NPst][--]ni[VPers][+1.Sg.Subj]

,	,[$,]

pay	pay[PrnPers+3.Sg]

wañun	wañu[VRoot][=morir][^DB][--]n[VPers][+3.Sg.Subj]

Hospital	Hospital[NRootES]

Lorena	Lorena[NP]

,	,[$,]

sala	sala[NRoot][=pedregoso]

cuatropi	cuatro[NRootES][^DB][--]pi[Cas][+Loc]

,	,[$,]

pulmón	pulmon[NRootES]

refriowan	refrio[NRootES][^DB][--]wan[Cas][+Con_Inst]

,	,[$,]

tisis	tisis	+?

ninku	ni[VRoot][=decir][^DB][--]nku[VPers][+3.Pl.Subj]

,	,[$,]

chaywan	chay[PrnDem][^DB][--]wan[Cas][+Con_Inst]

.	.[$,]

Mana	Mana[Part_Neg]

allinllañan	allin[NRoot][=bueno][^DB][--]lla[Amb][+Lim_Aff][^DB][--]ña[Amb][+Disc][^DB][--]n[Amb][+DirE]

kasharan	ka[VRoot][=ser][^DB][--]sha[Asp][+Prog][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

.	.[$,]

P'unchaymanta	P'unchay[NRoot][=día][^DB][--]manta[Cas][+Abl]

p'unchayman	p'unchay[NRoot][=día][^DB][--]man[Cas][+Dat_Ill]

astawan	as[NRoot][=poco][^DB][--]ta[Cas][+Acc][^DB][--]wan[Cas][+Con_Inst]

mana	mana[Part_Neg]

allin	allin[NRoot][=bueno]

,	,[$,]

mana	mana[Part_Neg]

kallpallayoqña	kallpa[NRoot][=fuerte][^DB][--]lla[Amb][+Lim_Aff][^DB][--]yuq[NDeriv][+Poss][^DB][--]ña[Amb][+Disc]

,	,[$,]

ultimomantaq	ultimo[NRootES][^DB][--]man[Cas][+Dat_Ill][^DB][--]taq[Amb][+Con_Intr]

q'ellu	q'illu[NRoot][=amarillo]

kashasqanman	ka[VRoot][=ser][^DB][--]sha[Asp][+Prog][^DB][--]sqa[NS][+Perf][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]man[Cas][+Dat_Ill]

,	,[$,]

colorninta	color[NRootES][^DB][--]nin[NPers][+3.Sg.Poss][^DB][--]ta[Cas][+Acc]

mudarun	muda[VRootES][--]ru[VDeriv][+Rptn][^DB][--]n[VPers][+3.Sg.Subj]

,	,[$,]

as	as[NRoot][=poco]

chikan	chika[NRoot][=mucho,tanto][^DB][--]n[NPers][+3.Sg.Poss]

q'ellutaq	q'illu[NRoot][=amarillo][^DB][--]taq[Amb][+Con_Intr]

as	as[NRoot][=poco]

chikan	chika[NRoot][=mucho,tanto][^DB][--]n[NPers][+3.Sg.Poss]

yanataq	yana[NRoot][=negro][^DB][--]taq[Amb][+Con_Intr]

.	.[$,]

Cuerpontaq	Cuerpo[NRootES][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]taq[Amb][+Con_Intr]

ch'usaqña	ch'usa[VRoot][=faltar][^DB][--]q[NS][+Ag][^DB][--]ña[Amb][+Disc]

,	,[$,]

mana	mana[Part_Neg]

aychayoq	aycha[NRoot][=cuerpo,carne][^DB][--]yuq[NDeriv][+Poss]

,	,[$,]

tullu	tullu[NRoot][=hueso]

puro	puro[NRootES]

.	.[$,]

Chhaynatan	Chhayna[PrnDem][^DB][--]ta[Cas][+Acc][^DB][--]n[Amb][+DirE]

askha	askha[NRoot][=mucho]

kuti	kuti[NRoot][=vez]

q'epirani	q'ipi[VRoot][=llevar][^DB][--]ra[Tns][+NPst][--]ni[VPers][+1.Sg.Subj]

Hospitalman	Hospital[NRootES][^DB][--]man[Cas][+Dat_Ill]

doctorkuna	doctor[NRootES][--]kuna[Num][+Pl]

